index,y_true,y_pred,lims
364,2.949479,2.95887,21.90571715145436
365,1.795489,1.804022,21.96589769307924
366,3.912966,3.918839,22.026078234704112
367,1.783791,1.7780142,22.086258776328986
368,2.000076,1.9980878,22.14643931795386
369,1.582875,1.5933808,22.206619859578737
370,49.90708399999999,50.388718,22.26680040120361
371,3.791704,3.7969227,22.326980942828484
372,3.628814,3.634192,22.387161484453358
373,2.388945,2.3876243,22.447342026078235
374,2.240685,2.2489288,22.50752256770311
375,2.486872,2.4833672,22.567703109327983
376,11.153921,11.179699,22.627883650952857
377,10.484487,10.49903,22.688064192577734
378,2.414559,2.4144392,22.748244734202608
379,4.35383,4.380338,22.80842527582748
380,1.5625279999999997,1.5743147,22.868605817452355
381,5.985941,5.999895,22.928786359077233
382,3.419582,3.4333968,22.988966900702106
383,11.257464,11.26306,23.04914744232698
384,3.3146889999999996,3.3254771,23.109327983951854
385,2.838716,2.8407173,23.169508525576727
386,3.424244,3.4311452,23.229689067201605
387,5.294871,5.300626,23.28986960882648
388,3.669493,3.6923165,23.350050150451352
389,2.707578,2.7210867,23.410230692076226
390,7.354394,7.337455,23.470411233701103
391,5.296092000000001,5.3052735,23.530591775325977
392,2.472905,2.4810703,23.59077231695085
393,1.653921,1.6609564,23.650952858575724
394,3.35076,3.376497,23.711133400200602
395,3.013756,3.008345,23.771313941825476
396,1.48461,1.4923178,23.83149448345035
397,4.284032000000001,4.310746,23.891675025075223
398,3.153713,3.1525195,23.9518555667001
399,8.98818,9.002013,24.012036108324974
400,2.88802,2.8847377,24.072216649949848
401,4.039607,4.0349765,24.13239719157472
402,2.229728,2.2338517,24.1925777331996
403,3.401088,3.402689,24.252758274824473
404,4.008085,4.001469,24.312938816449346
405,4.5340810000000005,4.5426073,24.37311935807422
406,4.199763,4.197193,24.433299899699097
407,4.696547000000001,4.6851006,24.49348044132397
408,4.971166,4.984699,24.553660982948845
