Corr	Sim	NN
76.84	122.57	124.00
10.27	9.93	10.11
10.83	8.40	8.53
10.34	11.13	11.21
13.50	9.26	9.57
23.62	25.16	24.54
46.53	34.12	34.66
6.37	5.34	5.39
6.26	4.78	5.04
32.53	23.41	24.00
30.84	22.24	21.26
5.52	4.38	4.56
8.35	5.86	5.76
16.10	10.61	10.99
4.11	3.40	3.70
30.56	30.73	29.19
97.00	85.26	83.88
15.62	17.00	16.71
87.75	54.85	59.50
20.96	14.24	14.48
25.67	18.65	18.66
60.95	38.55	39.39
13.14	9.47	9.80
15.24	13.60	14.14
5.38	3.84	3.89
9.81	8.00	8.12
16.85	12.54	13.07
11.04	10.25	10.31
31.65	42.08	42.83
3.67	2.60	2.62
39.81	27.48	26.87
21.21	24.22	24.28
39.39	56.83	55.66
70.36	73.31	75.08
52.12	60.25	60.46
4.61	3.28	3.35
138.56	145.36	146.98
30.84	21.07	21.31
4.93	4.23	4.58
151.24	203.72	207.26
19.88	16.72	18.35
6.97	5.50	5.67
11.32	9.47	9.87
30.91	19.73	20.29
112.30	153.51	153.82
47.24	50.94	50.16
32.78	27.67	26.76
39.70	23.42	24.30
34.48	31.06	31.12
15.87	16.65	16.55
6.47	4.43	4.57
20.91	24.81	25.22
3.70	2.71	2.67
20.33	27.48	27.65
21.95	16.27	16.41
8.93	6.37	6.46
5.99	4.47	4.38
24.46	21.03	22.04
51.07	67.65	67.33
11.53	7.09	7.34
4.67	3.47	3.81
6.39	5.30	5.62
61.98	36.55	39.06
3.48	2.53	2.64
23.21	19.47	19.49
39.56	24.95	24.82
39.05	53.95	55.39
6.33	6.19	5.97
31.58	24.63	25.13
8.65	8.11	7.97
16.70	11.90	12.15
11.92	11.46	11.20
14.97	11.31	11.28
22.94	18.62	19.45
4.78	4.10	4.09
16.64	12.57	12.90
31.36	20.90	21.55
11.63	9.55	9.65
4.34	3.06	3.16
10.83	9.60	9.42
23.92	32.08	33.00
8.49	7.10	7.35
61.34	36.41	37.24
14.27	14.69	15.15
31.26	19.99	20.75
23.56	15.03	14.78
42.95	33.24	33.18
16.06	16.27	16.33
57.01	71.46	71.75
33.51	26.98	27.62
6.36	5.07	5.25
23.31	19.54	20.02
5.70	4.13	4.27
35.41	41.00	40.75
10.45	6.65	7.09
24.11	23.68	23.22
11.06	7.34	7.67
10.95	9.69	9.72
46.31	33.85	33.26
20.94	13.39	13.79
6.32	5.89	6.16
112.73	159.06	162.84
10.08	7.77	7.96
5.30	3.64	3.65
9.01	6.94	7.14
9.15	8.74	8.82
11.28	8.86	8.87
46.81	36.76	36.95
28.76	30.22	30.35
63.31	42.04	43.50
7.05	6.50	6.62
15.91	12.21	11.97
78.73	91.30	91.88
10.84	7.30	7.73
151.79	231.28	233.80
14.06	11.29	11.35
12.68	11.76	11.98
5.35	3.75	3.81
56.32	67.37	67.81
44.72	38.92	41.07
20.15	22.53	22.37
17.18	22.14	22.09
4.01	3.07	3.05
149.55	184.06	184.59
3.72	3.09	3.29
27.52	23.19	23.43
12.50	12.80	13.17
8.85	6.23	6.23
15.05	12.02	12.46
17.06	14.37	13.97
66.96	54.06	54.28
9.03	6.80	7.04
3.81	2.75	2.75
15.87	14.96	15.11
14.02	14.43	14.95
13.42	8.74	9.14
7.92	5.35	5.29
31.80	41.14	42.22
25.21	24.20	23.77
4.45	3.39	3.58
